NEONSite,FluxnetSite,Year,Month,NEON_PAR,GrowingSeason,MODIS_FPAR,MODIS_GPP,MODIS_NPP,MODIS_CUE,MODIS_ET,MODIS_PET,Ameriflux_Precipitation,Ameriflux_NEE,Ameriflux_RE,Ameriflux_GPP
ABBY,US-xAB,2019,1,234.26608222685473,0,0.51125,15812.0,,,,,5.525,0.985518,1.87615,1.08093
ABBY,US-xAB,2019,2,158.7913739503273,0,0.3128571428571429,,,,,,8.037,1.06296,1.4275,0.354154
ABBY,US-xAB,2019,3,274.51771121884434,1,0.58875,,,,,,2.682,-0.0930459,3.1109,3.26521
ABBY,US-xAB,2019,4,239.74398553004764,1,0.37,,,,,,7.601,0.311318,4.95291,4.50257
ABBY,US-xAB,2019,5,371.70989932885834,1,0.6950000000000001,,,,,,2.044,-0.35264,6.97303,7.38866
ABBY,US-xAB,2019,6,435.9775783299867,1,0.85875,,,,,,2.245,-2.58044,5.86903,8.30183
ABBY,US-xAB,2019,7,385.82775799271275,1,0.7571428571428571,,,,,,0.483,-3.10589,7.44392,9.75995
ABBY,US-xAB,2019,8,346.5254067796621,1,0.88625,,,,,,1.014,-1.80214,7.77323,9.45434
ABBY,US-xAB,2019,9,229.71266574010303,1,0.81875,,,,,,8.715,0.260855,6.17035,5.99523
ABBY,US-xAB,2019,10,165.30567959096658,1,0.7328571428571429,,,,,,5.07,1.00396,4.02864,3.07759
ABBY,US-xAB,2019,11,126.17858113730952,1,0.795,,,,,,2.229,0.992849,3.9451,2.56107
ABBY,US-xAB,2019,12,60.971532411174834,1,0.28875,,,,,,7.42,0.925727,2.17956,1.26969
ABBY,US-xAB,2020,1,49.204566684665124,0,0.1275,15033.0,,,,,20.056,1.24773,2.20754,0.850931
ABBY,US-xAB,2020,2,151.68171531791978,0,0.7385714285714285,,,,,,10.083,0.670213,2.46671,1.69044
ABBY,US-xAB,2020,3,257.6441498714987,1,0.5625,,,,,,6.825,-0.327544,2.02143,2.31209
ABBY,US-xAB,2020,4,339.6241416666622,1,0.5337500000000001,,,,,,2.761,-0.971296,2.50859,3.15862
ABBY,US-xAB,2020,5,329.5160389784902,1,0.4757142857142857,,,,,,5.103,-1.19023,3.31089,4.03917
