site,code,location,month,GPP_2001,GPP_2002,GPP_2003,GPP_2004,GPP_2005,GPP_2006,GPP_2007,GPP_2008,GPP_2009,GPP_2010,GPP_2011,GPP_2012,GPP_2013,GPP_2014,GPP_2015,NEE_2001,NEE_2002,NEE_2003,NEE_2004,NEE_2005,NEE_2006,NEE_2007,NEE_2008,NEE_2010,NEE_2011,NEE_2012,NEE_2013,NEE_2014,NEE_2015,TER_2001,TER_2002,TER_2003,TER_2004,TER_2005,TER_2006,TER_2007,TER_2008,TER_2009,TER_2010,TER_2011,TER_2012,TER_2013,TER_2014,TER_2015
ABBY,US-xAB,Abby Road NEON,1,1.654364823,0.890791022,1.927435896,1.175551574,1.502348922,1.015733111,1.131958689,0.74850771,1.338373931,1.368214579,0.949460498,0.993271378,1.155158569,1.833240836,1.796254499,0.152721381,0.537463521,0.066719749,0.307344757,0.200596659,0.491002377,0.206470405,0.418103682,0.320438265,0.370949019,0.323056758,0.208259921,0.052813638,0.092724122,1.41E+36,1.381503713,1.939147549,1.416067286,1.663091604,1.464426781,1.338065058,1.138817644,1.402704959,1.647386748,1.26152087,1.289288204,1.297558843,1.83627584,1.849895644
ABBY,US-xAB,Abby Road NEON,2,2.138127452,2.043328394,2.23503835,2.069246008,3.050661114,1.93901387,1.959921831,1.879192049,2.040749006,2.36842059,1.187917056,1.566616243,1.887165271,1.753653622,2.323313083,-0.366892522,-0.306835786,-0.329514718,-0.181322946,-0.878173471,-0.200493612,-0.080708789,-0.104438856,-0.344800037,0.254157795,0.15087493,0.08217401,-0.167596284,-0.199744827,1.655706046,1.652483017,1.854354243,1.797819858,2.110768279,1.678080441,1.815979121,1.739414066,1.81638445,1.966154617,1.344987927,1.671039059,1.930551697,1.554987071,2.048807547
ABBY,US-xAB,Abby Road NEON,3,3.362564303,2.296825457,2.014258532,3.553108801,3.284625975,2.018155284,2.766986673,2.112938198,2.039914536,2.953428836,1.947272876,1.991807912,2.36311753,2.489199446,3.306766368,-0.740616648,-0.429847512,-0.094691842,-0.987154199,-0.847497023,-0.206335406,-0.524014446,-0.346094703,-0.746737322,-0.305979167,-0.173188422,-0.429098733,-0.429992265,-0.929781709,2.407744895,1.825409629,1.864924151,2.483244437,2.380915709,1.726955197,2.137821588,1.693848769,1.705264803,2.129296203,1.601113455,1.736594537,1.862136383,1.967675882,2.337902346
ABBY,US-xAB,Abby Road NEON,4,3.595831142,3.830673951,3.633609478,5.527951596,3.594679534,4.097048494,4.085897844,3.184867059,4.152735123,3.292688839,2.98244049,3.755607522,4.09208236,4.034993079,4.338419594,-0.919798514,-1.108259344,-1.291206746,-2.454036464,-1.292395251,-1.596225069,-1.556461905,-0.928026912,-1.177805437,-0.882867439,-1.030181256,-1.365682843,-1.466731245,-1.649711822,2.525580044,2.630021905,2.297911141,3.148076653,2.310936452,2.487012743,2.464311559,2.222465107,2.709354419,2.110804165,2.046219662,2.70315887,2.731255333,2.603721673,2.721834323
ABBY,US-xAB,Abby Road NEON,5,7.154741081,5.733820823,6.627306506,6.142418259,5.992039713,6.314249718,7.167267295,5.683373783,6.938146669,5.010581496,4.386568966,5.595547103,6.220674236,6.503169217,5.776184704,-3.347893752,-2.536527384,-2.81407322,-2.307172706,-2.279395722,-2.505401943,-3.324409485,-1.957030983,-1.91241437,-1.698824129,-2.024819514,-2.50904949,-2.519491871,-1.889371616,3.996137149,3.135169507,3.862956287,3.858944449,3.735115092,3.995745125,4.03361542,3.810578865,3.756397526,3.146345831,2.707629622,3.590849581,3.815204953,4.027965156,3.93787773
ABBY,US-xAB,Abby Road NEON,6,8.00440924,8.071785358,8.329359501,8.438306028,7.471180655,7.686738507,7.780005868,7.174177875,7.282484832,7.22182978,6.878901823,6.638230984,7.646006443,7.340658612,8.326954229,-3.584242873,-3.388792144,-3.53306158,-3.65639272,-3.159289166,-3.163391128,-3.082312172,-3.211830306,-2.933160716,-2.592842928,-2.64994331,-3.230383716,-2.828167795,-3.831673085,4.517519647,4.895805464,5.222592502,5.038012046,4.387035499,4.737477179,4.817174612,4.268848166,4.623044068,4.353411011,4.323763807,3.990832671,4.554297556,4.62498893,4.993521338
ABBY,US-xAB,Abby Road NEON,7,7.922359025,9.015049931,8.984631369,8.578156773,8.242849899,8.429687602,8.273184032,8.323207232,8.312186607,8.25230584,7.685423286,8.112289172,8.05913415,8.140194034,7.752526681,-3.257858215,-3.880234217,-4.163568302,-3.820289015,-3.673871949,-3.665233672,-3.386129017,-3.552922074,-3.590453702,-3.082166874,-3.414396209,-3.469419603,-3.463919039,-3.111423058,4.892489343,5.419878957,5.400435558,5.097063985,5.073231081,5.13176992,5.183140548,5.154586638,5.241184663,5.020079648,4.8789646,4.961654705,4.966968256,5.123473717,5.039773745
ABBY,US-xAB,Abby Road NEON,8,7.879624357,8.573215779,8.357868271,7.462696896,7.871447465,7.799032019,7.486256992,7.917289681,7.171445451,7.279116827,7.7334766,7.515780856,7.120417342,7.467913868,6.852609798,-3.12269443,-3.63214761,-3.188433347,-2.394730004,-3.22844511,-2.888382345,-2.60411981,-2.774464582,-2.403919377,-3.070849889,-2.902647476,-2.352556881,-2.970155982,-2.544681718,4.964133779,5.200070823,5.340808384,5.232395674,4.925146788,5.126518886,5.036656328,5.2290146,4.988717237,5.069448677,4.926486303,4.919312248,4.904989679,4.839953492,4.615160639
ABBY,US-xAB,Abby Road NEON,9,7.245977718,7.342522603,6.990613226,6.108740925,5.751726059,6.482743331,5.74313596,6.770796159,6.663511612,5.816223061,6.172003716,6.712881893,5.318128451,6.252319611,6.074107015,-2.551578738,-2.626379109,-2.138731775,-2.000698552,-1.781587797,-2.189812929,-1.656127326,-2.137569533,-1.432505802,-1.556879577,-2.279192505,-1.096361402,-1.746783933,-1.87188837,4.684893659,4.738451229,4.91692539,4.057587923,4.012227719,4.299077729,4.137234063,4.829712386,4.52432776,4.257038263,4.697853991,4.550421668,4.284312173,4.631978746,4.232170944
ABBY,US-xAB,Abby Road NEON,10,3.330628828,4.788175326,4.014919421,3.8785246,3.146979718,4.023568564,4.079661169,4.041020962,3.128289538,4.5078724,3.463460937,3.522687771,3.967110501,3.717855024,3.703353186,-0.567161679,-1.292991697,-0.710122911,-0.606983147,-0.258037948,-0.861572233,-0.721194701,-0.980979933,-1.010346144,-0.580736923,-0.505241086,-0.848849764,-0.328848641,-0.459478499,2.670058585,3.420045649,3.270856406,3.220176081,2.896826146,3.095681081,3.315028687,3.012847526,2.753881332,3.385032323,2.832392201,2.998947843,3.063494011,3.434829179,3.243243623
