NEONsite,FluxnetSite,location,month,GPP_2001,GPP_2002,GPP_2003,GPP_2004,GPP_2005,GPP_2006,GPP_2007,GPP_2008,GPP_2009,GPP_2010,GPP_2011,GPP_2012,GPP_2013,GPP_2014,GPP_2015,NEE_2001,NEE_2002,NEE_2003,NEE_2004,NEE_2005,NEE_2006,NEE_2007,NEE_2008,NEE_2009,NEE_2010,NEE_2011,NEE_2012,NEE_2013,NEE_2014,NEE_2015,TER_2001,TER_2002,TER_2003,TER_2004,TER_2005,TER_2006,TER_2007,TER_2008,TER_2009,TER_2010,TER_2011,TER_2012,TER_2013,TER_2014,TER_2015
ABBY,US-xAB,Abby Road NEON,1,1.305626856,0.828264553,1.556025753,0.872643978,1.311924514,0.867806647,0.983415161,0.703570553,1.158194734,1.137473224,0.900613394,0.992411646,1.066085105,1.730132587,1.598656985,0.257439651,0.469482899,0.189332843,0.372931267,0.229647146,0.466300548,0.249543808,0.369444781,0.214737508,0.338259351,0.324431208,0.293018828,0.19598295,0.068475515,0.139553922,1.41E+36,1.287768752,1.721454643,1.21657534,1.541216206,1.324884831,1.240109646,1.081395462,1.343821922,1.459973843,1.201722426,1.248875629,1.240686992,1.747893574,1.709709388
ABBY,US-xAB,Abby Road NEON,2,1.72065053,1.653240997,1.938167444,1.724473913,2.721895754,1.691584393,1.58478662,1.553791707,1.742200747,2.158989116,1.228241079,1.476311652,1.685301967,1.489759762,2.474310662,-0.139185224,-0.099191874,-0.189537777,-0.031190117,-0.641453921,-0.110404636,0.052744237,-0.012941496,-0.031277768,-0.250242746,0.147662116,0.065237502,0.08335629,-0.07967445,-0.290337819,1.519465498,1.49616003,1.697202158,1.63545724,1.981045424,1.552320549,1.597735961,1.527629515,1.660771683,1.832714144,1.325904141,1.523314392,1.74705805,1.384584588,2.08178548
ABBY,US-xAB,Abby Road NEON,3,3.045731676,2.11923702,1.886216058,3.467477626,3.217362639,1.989792841,2.654724884,2.030534458,1.841995483,2.920356409,1.921991389,1.974856376,2.334719538,2.678019217,3.617177432,-0.573140403,-0.286019298,-0.019008261,-0.807201885,-0.765850206,-0.206547516,-0.483336238,-0.296255275,-0.188206512,-0.691527766,-0.334959119,-0.24633177,-0.399489811,-0.520844881,-0.975408467,2.371733673,1.787216295,1.839382512,2.552605275,2.358119944,1.720464663,2.086066436,1.669380175,1.593205684,2.132625475,1.563177564,1.683198803,1.861603815,2.05865337,2.528937238
ABBY,US-xAB,Abby Road NEON,4,3.658481104,3.922519938,3.995275557,5.630335136,3.979409082,4.554593443,4.434823007,3.451358437,4.343346483,3.730954453,3.243799762,4.026426005,4.501916309,4.630648484,5.206177568,-0.918809555,-1.009551366,-1.228220087,-2.226815706,-1.368489331,-1.612540655,-1.573296595,-0.93582607,-1.341661948,-1.231780206,-0.951466859,-1.123506212,-1.447733119,-1.679211223,-1.970495915,2.648004776,2.829929151,2.625725562,3.345145489,2.537366897,2.840929583,2.712003272,2.437636785,2.905957056,2.368023042,2.20460059,2.894856734,2.970078449,2.827662987,3.138310561
ABBY,US-xAB,Abby Road NEON,5,7.17154448,5.931439691,6.607526095,6.294050953,6.260151416,6.593686887,7.327554337,5.942424781,7.226735887,5.344649845,4.98568653,5.973239326,6.644652944,6.96536873,6.281151193,-3.024345613,-2.385487454,-2.526679154,-2.122474087,-2.190593899,-2.432951509,-3.095921587,-1.91489819,-3.207352157,-1.957007338,-1.761720609,-2.180165226,-2.570914867,-2.679695411,-2.128400284,4.249354532,3.481958768,4.07481319,4.162960378,4.012824609,4.256328348,4.31739397,4.025950775,4.098467378,3.400309611,3.185859306,3.767182555,4.16241475,4.246937119,4.217669573
ABBY,US-xAB,Abby Road NEON,6,7.561044008,7.71182595,7.919713721,7.904938387,7.318902932,7.468018594,7.622217509,7.144555029,7.384182912,7.15113424,6.977551782,6.657447154,7.827655508,7.447097477,8.321388882,-3.030569989,-2.973605854,-3.031096061,-3.080839447,-2.8394713,-2.851963997,-2.90669019,-2.890491329,-2.750333951,-2.709253908,-2.513581883,-2.568817016,-3.183200308,-2.795692399,-3.498458639,4.621210161,4.812412956,5.082656831,4.930935699,4.500969395,4.716377718,4.785870324,4.375757222,4.724611705,4.515264112,4.475057645,4.098277273,4.692182516,4.73665441,5.068136905
ABBY,US-xAB,Abby Road NEON,7,7.483784793,8.321669776,8.264055836,8.031261086,7.996617589,8.097360799,7.890346857,8.008213214,7.972667226,8.085377504,7.559499884,7.996654758,7.946726301,8.064260089,7.583314842,-2.780494812,-3.19376078,-3.333679289,-3.158439298,-3.142090711,-3.159760465,-2.916147479,-3.12223806,-3.025258832,-3.230088693,-2.817201574,-3.18409856,-3.159908695,-3.136301416,-2.734891388,4.865861699,5.204172865,5.173910477,5.041273658,5.067653247,5.094651296,5.096666151,5.074248803,5.152912303,5.032882335,4.907226057,4.960851989,5.015641379,5.175881132,5.044720994
ABBY,US-xAB,Abby Road NEON,8,7.229221351,7.724822765,7.482111308,7.008872736,7.442040425,7.409674097,7.085004499,7.350095521,6.859774067,7.096963868,7.544023343,7.40938988,6.895577649,7.336872557,6.740756129,-2.530384261,-2.818380321,-2.516261801,-2.023141425,-2.713928528,-2.494989365,-2.28167714,-2.318606967,-2.043123527,-2.222228753,-2.752824711,-2.663704973,-2.121680336,-2.658449795,-2.251721787,4.852995002,4.986412849,5.044314624,5.092348979,4.885277627,5.018109693,4.900793699,5.084298408,4.933157039,4.97864158,4.92819687,4.902090189,4.878263344,4.880079624,4.628169711
ABBY,US-xAB,Abby Road NEON,9,6.502475788,6.521343297,6.289919611,5.955282064,5.571798891,6.133964062,5.443051524,6.450619027,6.359083529,5.693067432,5.863466831,6.505909575,5.351706374,6.124617476,6.051588763,-2.030206868,-2.018845253,-1.657312856,-1.712157109,-1.584842915,-1.851960889,-1.382341761,-1.840814505,-1.911058358,-1.307223831,-1.319940098,-2.066678535,-1.108658186,-1.596697061,-1.747921182,4.523955346,4.538693246,4.690529432,4.244873586,4.024209177,4.336427085,4.085767356,4.720384022,4.491360771,4.332462423,4.622542328,4.511752987,4.286660066,4.61377915,4.31489998
ABBY,US-xAB,Abby Road NEON,10,3.229942385,4.332710307,3.801441268,3.791559136,3.242530449,3.861869312,3.929198323,3.914193765,3.108414226,4.463413695,3.428646731,3.477141103,4.056196623,3.604416163,3.667687118,-0.402129878,-1.014409925,-0.528563835,-0.524001821,-0.245399037,-0.712633904,-0.595094265,-0.783054576,-0.307106247,-0.907895094,-0.497741544,-0.404646713,-0.799990635,-0.319282659,-0.395971965,2.761964946,3.226325773,3.254136194,3.211658115,2.996588488,3.090154217,3.28531857,3.063458399,2.781683128,3.422194736,2.885818175,3.078952154,3.158859196,3.325018687,3.258771436
