site,code,location,lat,lon
ABBY,US-xAB,Abby Road NEON,45.76244,-122.33032
BART,US-xBR,Bartlett Experimental Forest NEON,44.06389,-71.28737
BLAN,US-xBL,Blandy Experimental Farm NEON,39.0337,-78.04179
CLBJ,US-xCL,Lyndon B. Johnson National Grassland NEON,33.40123,-97.57
CPER,US-xCP,Central Plains Experimental Range NEON,40.81554,-104.74559
DCFS,US-xDC,Dakota Coteau Field  NEON,47.16165,-99.10656
DELA,US-xDL,Dead Lake NEON,32.54173,-87.80388
HARV,US-xHA,Harvard Forest & Quabbin Watershed NEON,42.53691,-72.17265
JERC,US-xJE,The Jones Center At Ichauway NEON,31.19484,-84.46862
JORN,US-xJR,Jornada Experimental Range NEON,32.59069,-106.84254
KONA,US-xKA,Konza Prairie Agroecosystem NEON,39.11045,-96.61293
KONZ,US-xKZ,Konza Prairie Biological Station NEON,39.10077,-96.56307
LAJA,US-XLA,Lajas Experimental Station NEON,18.02126,-67.07689
MOAB,US-xMB,Moab NEON,38.24828,-109.38827
NIWO,US-xNW,Niwot Ridge NEON,40.05425,-105.58237
NOGP,US-xNG,Northern Great Plains Research Laboratory NEON,46.76972,-100.91535
ONAQ,US-xNQ,Onaqui NEON,40.1776,-112.45245
ORNL,US-xRN,Oak Ridge NEON,35.96413,-84.28259
OSBS,US-xSB,Ordway-Swisher Biological Station NEON,29.68928,-81.99343
RMNP,US-xRM,Rocky Mountains NEON,40.2759,-105.54596
SCBI,US-xSC,Smithsonian Conservation Biology Institute NEON,38.89292,-78.13949
SERC,US-xSE,Smithsonian Environmental Research Center NEON,38.89013,-76.56001
SRER,US-xSR,Santa Rita Experimental Range NEON,31.91068,-110.83549
STER,US-xSL,North Sterling NEON,40.46189,-103.02929
TALL,US-xTA,Talladega National Forest NEON,32.95047,-87.39326
TREE,US-xTR,Treehaven NEON,45.49369,-89.58571
UKFS,US-xUK,KU Field Station NEON,39.04043,-95.19215
UNDE,US-xUN,University of Notre Dame Environmental Research Center NEON,46.23391,-89.53725
WOOD,US-xWD,Chase Lake National Wildlife Refuge NEON,47.1282,-99.24133
